2103661,runtimes,USA:11
2103661,"color info",Color
2103661,genres,Sci-Fi
2103661,genres,Short
2103661,languages,English
2103661,"tech info","RAT:1.66 : 1"
2103661,countries,USA
2103661,taglines,"It's Frontier Space or Death!"
2103661,"release dates","USA:7 November 2008"
2103661,locations,"Las Vegas, Nevada, USA"
2103661,budget,"$15,000"
2158720,runtimes,USA:14
2158720,"color info",Color
2158720,genres,Drama
2158720,genres,Short
2158720,genres,Thriller
2158720,languages,English
2158720,"tech info",RAT:4:3
2158720,countries,USA
2158720,"release dates","USA:December 2008"
2158720,"release dates","USA:March 2009"
2158720,trivia,"From early pre-production until the final edit took 3 1/2 years (April 2005 - September 2008)"
2158720,trivia,"The whole film was shot in 30 hours in August of 2008"
2158720,trivia,"Won the Golden Kahuna Award for Excellence in Filmmaking at the 2009 Honolulu Film Festival."
2158720,trivia,"Won a Merit Award at the 2008 Accolade Competition."
2158720,locations,"Ringwood, New Jersey, USA"
2158720,plot,"Amanda and her parents are transitioning into a new life, in a new house, in a new town. Recording their daughter's birthday for the benefit of the loved ones they left behind, this seemingly normal and happy family sets up the home for a birthday surprise. Unfortunately for the whole family, they aren't the only ones with a plan for Amanda on her special day."
2158720,budget,"$3,500"
2647865,runtimes,92
2647865,"color info",Color
2647865,genres,Drama
2647865,languages,Armenian
2647865,"sound mix","Dolby Digital"
2647865,"tech info","RAT:16:9 HD"
2647865,countries,Armenia
2647865,"release dates","Armenia:25 January 2014"
2647865,"release dates","Sweden:26 January 2014"
2647865,locations,"Yerevan, Armenia"
2647865,plot,"The story is about Oscar, an Armenian actor who dreamed of going to Hollywood and becoming a celebrity for many years. Now he won a Green Card Lottery, and it seems his long-standing dream came true! But the good-bye party given for him by his teenage friends takes a completely different path: as a result, everything changes and chain of unpredicted and absurd events brings to a tragedy."
2647865,budget,"¿¿¿ 210,000"
2339250,runtimes,6
2339250,genres,Short
2339250,languages,English
2339250,countries,Australia
2339250,"release dates",Australia:2009
2098305,runtimes,7
2098305,genres,Drama
2098305,genres,Short
2098305,languages,English
2098305,countries,USA
2098305,"release dates","USA:3 June 2013"
2406593,runtimes,3
2406593,"color info",Color
2406593,genres,Animation
2406593,genres,Family
2406593,genres,Short
2406593,languages,None
2406593,countries,USA
2406593,"release dates","USA:22 September 2005"
2406593,"release dates","USA:29 October 2005"
2406593,"release dates","USA:23 February 2006"
